Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-09-11,496,Eggs,Meat,173,42.4,83.7,1.5,1.5,12.7,752,125,Lunch,478
2024-12-17,201,Apple,Fruits,66,39.2,13.8,3.2,2.6,12.2,680,97,Lunch,466
2024-06-09,776,Chicken Breast,Meat,226,27.1,79.1,25.8,3.2,44.7,295,157,Breakfast,635
2024-08-27,112,Banana,Fruits,116,43.4,47.1,16.1,6.5,44.1,307,13,Snack,379
2024-07-28,622,Banana,Fruits,500,33.9,75.8,47.0,7.8,19.4,358,148,Lunch,471
2024-01-19,620,Oats,Grains,387,31.2,6.8,39.5,5.1,0.7,300,244,Dinner,727
2024-07-27,714,Carrot,Vegetables,138,28.2,12.4,20.2,2.8,37.8,933,15,Dinner,733
2024-10-21,992,Cookies,Snacks,69,36.8,17.8,15.0,9.6,36.4,185,228,Snack,386
2024-07-23,535,Apple,Fruits,568,6.7,7.0,23.4,6.4,46.9,336,129,Breakfast,931
2024-09-08,594,Quinoa,Grains,204,19.3,62.7,31.8,6.8,40.3,887,135,Snack,662
2024-01-01,856,Oats,Grains,108,40.6,13.9,12.2,9.3,44.7,530,194,Lunch,624
2024-07-13,621,Tomato,Vegetables,117,34.4,21.0,10.1,9.1,18.5,66,180,Dinner,799
2024-08-28,74,Orange Juice,Beverages,147,20.1,32.7,8.9,7.0,42.4,500,250,Snack,661
2024-03-07,634,Cookies,Snacks,468,23.7,89.2,3.1,6.3,31.3,342,225,Lunch,607
2024-08-23,151,Beef Steak,Meat,157,27.5,32.4,9.4,0.5,24.6,180,68,Lunch,724
2024-07-02,863,Pork Chop,Meat,385,15.8,36.5,33.1,2.1,27.6,134,88,Lunch,421
2024-07-13,651,Oats,Grains,297,36.3,76.4,24.9,2.9,37.6,269,66,Lunch,338
2024-02-23,770,Grapes,Fruits,274,42.4,54.5,45.2,8.2,20.3,507,76,Breakfast,463
2024-10-03,986,Milkshake,Beverages,353,24.0,96.2,6.8,0.9,17.5,305,17,Lunch,618
2024-12-16,660,Eggs,Meat,569,4.3,23.2,31.9,9.5,28.2,373,17,Breakfast,416
2024-08-19,54,Pasta,Grains,217,28.1,8.3,38.9,3.7,43.2,653,176,Dinner,224
2024-01-11,135,Oats,Grains,492,32.8,45.9,27.5,7.5,5.1,435,70,Breakfast,255
2024-07-10,66,Orange,Fruits,222,21.1,85.0,45.1,1.7,46.8,422,260,Snack,876
2024-07-01,965,Pasta,Grains,335,38.0,64.7,39.1,9.5,2.1,322,139,Snack,786
2024-01-18,581,Nuts,Snacks,552,25.9,27.4,39.2,1.5,47.3,338,292,Breakfast,751
2024-07-09,759,Cheese,Dairy,252,18.0,24.9,31.0,8.2,43.6,744,110,Breakfast,244
